#Wavenumber (cm^-1);  Spectrum (K*cm*km*mol^-1); Spectrum (normalised);  Integral (K*km*mol^-1)
197.48; 1091.9114; 0.011142515076041; 363269.99903908
198.5; 1074.3412; 0.010963218277428; 364363.63200607
199.52; 1059.3054; 0.010809784007779; 365441.9591955
200.54; 1047.2176; 0.010686432888141; 366507.98154963
201.56; 1038.9265; 0.010601825559426; 367565.56393669
202.57; 1035.5715; 0.010567589138705; 368619.73107593
203.59; 1038.2188; 0.010594603766596; 369676.59302014
204.61; 1047.4144; 0.0106884411527; 370742.81567654
205.63; 1062.8329; 0.010845780721369; 371824.73365472
206.65; 1083.169; 0.011053302412998; 372927.35298977
207.66; 1106.3309; 0.011289660252966; 374053.55014234
208.68; 1129.8804; 0.011529973394474; 375203.71960611
209.7; 1151.5806; 0.011751415175972; 376375.9789374
210.72; 1169.8772; 0.011938124593366; 377566.86344034
211.74; 1184.1706; 0.012083982970692; 378772.29799488
212.75; 1194.8154; 0.012192608857812; 379988.56853131
213.77; 1202.8769; 0.012274873211207; 381213.04529859
214.79; 1209.7462; 0.012344971644845; 382444.51476945
215.81; 1216.7508; 0.012416450760369; 383683.11453793
216.82; 1224.8795; 0.012499400862637; 384929.98905512
217.84; 1234.6978; 0.012599592650882; 386186.85812539
218.86; 1246.4586; 0.012719606867518; 387455.69915209
219.88; 1260.3608; 0.012861473206756; 388738.69201033
220.9; 1276.8591; 0.013029831698552; 390038.47950858
221.91; 1296.9129; 0.013234472632635; 391358.6808635
222.93; 1322.0661; 0.013491150885294; 392704.48705999
223.95; 1354.2866; 0.013819948081667; 394083.09239754
224.97; 1395.549; 0.014241014217687; 395503.70105458
225.99; 1447.2206; 0.014768302037928; 396976.90914397
227; 1509.3908; 0.015402723833305; 398513.40387197
228.02; 1580.3386; 0.016126717493516; 400122.12038182
229.04; 1656.3423; 0.016902304572362; 401808.20533337
230.06; 1731.9812; 0.017674169014464; 403571.28744125
231.08; 1800.9565; 0.018378034108394; 405404.5834772
232.09; 1857.3004; 0.018953000864115; 407295.23509825
233.11; 1896.6939; 0.019354995630035; 409225.98767835
234.13; 1917.533; 0.019567650233624; 411177.95349854
235.15; 1921.4008; 0.019607119571347; 413133.85656068
236.17; 1912.7486; 0.019518827362895; 415080.95204934
237.18; 1897.8035; 0.019366318650134; 417012.8341667
238.2; 1882.9619; 0.019214866113094; 418929.60817847
239.22; 1873.0989; 0.019114218179393; 420836.34203884
240.24; 1870.2751; 0.019085402440248; 422740.20137871
241.26; 1873.2182; 0.019115435587736; 424647.05666956
242.27; 1877.7338; 0.019161515462969; 426558.50860202
243.29; 1877.924; 0.019163456377193; 428470.15418162
244.31; 1867.8545; 0.019060701194347; 430371.54946011
245.33; 1843.1839; 0.018808947679882; 432247.8311402
246.35; 1802.2984; 0.018391727656223; 434082.49312205
247.36; 1746.6589; 0.017823949018163; 435860.5165378
248.38; 1680.315; 0.017146936299042; 437571.00474589
249.4; 1608.7834; 0.016416985195488; 439208.67684439
250.42; 1537.6573; 0.01569117205575; 440773.94560783
251.44; 1471.3562; 0.015014596093352; 442271.72276935
252.45; 1412.3439; 0.014412399392757; 443709.42790741
253.47; 1360.97; 0.013888149480846; 445094.83665269
254.49; 1315.8959; 0.013428186484957; 446434.36193043
255.51; 1274.9001; 0.013009840894322; 447732.15520273
256.53; 1235.7792; 0.012610627901365; 448990.12510032
257.54; 1197.0738; 0.012215654918186; 450208.69460689
258.56; 1158.4377; 0.011821389113535; 451387.93418259
259.58; 1120.6006; 0.011435276781359; 452528.65726716
260.6; 1085.0011; 0.011071998253953; 453633.14155982
261.61; 1053.2477; 0.01074796762453; 454705.3022801
262.63; 1026.5946; 0.010475983497821; 455750.33125002
263.65; 1005.5808; 0.010261546151251; 456773.969141
264.67; 989.91303; 0.010101662882853; 457781.65789165
265.69; 978.58438; 0.009986058582526; 458777.81456678
266.7; 970.15712; 0.009900061795974; 459765.39265112
267.72; 963.09958; 0.009828042449121; 460745.78646036
268.74; 956.07445; 0.009756353833235; 461719.02899868
269.76; 948.1114; 0.009675094122349; 462684.16549272
270.78; 938.64865; 0.009578530578333; 463639.66931725
271.79; 927.4757; 0.009464515133656; 464583.79955996
272.81; 914.63596; 0.009333490769846; 465514.85949579
273.83; 900.34817; 0.009187689640305; 466431.37508468
274.85; 884.98158; 0.009030879792233; 467332.24814444
275.87; 869.08399; 0.008868651303504; 468216.93814804
276.88; 853.43043; 0.00870891304242; 469085.69349759
277.9; 839.04459; 0.008562111352208; 469939.80468095
278.92; 827.15284; 0.008440760843682; 470781.8105825
279.94; 819.05598; 0.008358135655761; 471615.57422732
280.96; 815.93699; 0.008326307621822; 472446.16287067
281.97; 818.64992; 0.008353991977371; 473279.51316443
282.99; 827.54476; 0.00844476022908; 474121.91801711
284.01; 842.37304; 0.008596076840896; 474979.41741721
285.03; 862.29434; 0.008799365665964; 475857.1958502
286.05; 885.97471; 0.009041014282996; 476759.0798742
287.06; 911.74637; 0.009304003670308; 477687.19833628
288.08; 937.79103; 0.00956977891242; 478641.82913413
289.1; 962.31551; 0.009820041331268; 479621.42480004
290.12; 983.7034; 0.010038296115283; 480622.79241445
291.14; 1000.6394; 0.010211121158897; 481641.40009618
